Target Name,jwst_instrument,jwst_filter,jwst_dispersion,num_obs,eap_months,pid,type,Notes
55 Cnc e,MIRI / MRS,Medium,-,3,12,7875,Eclipse,
BD+05 4868 b,MIRI / LRS,-,SLITLESS,1,12,8739,Phase Curve,
HAT-P-13 b,NIRISS / SOSS,-,GR700XD,1,12,8233,Transit,
HAT-P-13 b,NIRSpec / BOTS,F290LP,G395M,1,12,8233,Transit,
HAT-P-32 b,MIRI / LRS,-,SLITLESS,1,12,7849,Transit,
HATS-72 b,MIRI / LRS,-,SLITLESS,1,12,7849,Transit,
HD 12572 b,NIRSpec / BOTS,F290LP,G395H,2,12,8004,Transit,
HD 86226 c,NIRCam / GTS,F322W2,GRISM-R,1,12,7407,Transit,Using DHS mode
HD 86226 c,NIRCam / GTS,F444W,GRISM-R,1,12,7407,Transit,Using DHS mode
HD 86226 c,MIRI / LRS,-,SLITLESS,1,12,7407,Transit,
K2-232 b,NIRSpec / BOTS,F290LP,G395H,1,12,9025,Phase Curve,
KELT-20 b,NIRSpec / BOTS,F290LP,G395H,1,12,6978,Eclipse,
KELT-9 b,NIRISS / SOSS,-,GR700XD,2,12,7255,Phase Curve,
Kepler-12 b,MIRI / LRS,-,SLITLESS,2,12,7849,Transit,
LHS-1140 b,NIRISS / SOSS,-,GR700XD,3,0,7073,Transit,
LHS-1140 b,NIRSpec / BOTS,F290LP,G395H,3,0,7073,Transit,
LHS-1140 c,NIRISS / SOSS,-,GR700XD,1,0,7073,Transit,
LHS-1140 c,NIRSpec / BOTS,F290LP,G395H,2,0,7073,Transit,
LHS-1478 b,MIRI / LRS,-,SLITLESS,5,12,7675,Eclipse,
LHS-1478 b,MIRI / Imaging,F1500W,,2,12,7675,Eclipse,
LHS-3844 b,MIRI / LRS,-,SLITLESS,8,12,7953,Eclipse,
LHS-3844 b,NIRSpec / BOTS,F290LP,G395H,1,12,7953,Eclipse,
LP 890-9 b,NIRSpec / BOTS,-,PRISM,8,0,7073,Transit,
LP 890-9 c,NIRSpec / BOTS,-,PRISM,18,0,7073,Transit,
LTT 1445 A b,NIRISS / SOSS,-,GR700XD,2,0,7073,Transit,
LTT 1445 A b,NIRSpec / BOTS,F290LP,G395H,1,0,7073,Transit,
LTT 1445 A b,NIRCam / GTS,F322W2,GRISM-R,4,12,7251,Transit,Using DHS mode
LTT 1445 A b,NIRCam / GTS,F444W,GRISM-R,4,12,7251,Transit,Using DHS mode
LTT 1445 A c,NIRISS / SOSS,-,GR700XD,2,0,7073,Transit,
LTT 1445 A c,NIRSpec / BOTS,F290LP,G395H,2,0,7073,Transit,
NGTS-11 b,NIRSpec / BOTS,F290LP,G395M,1,12,7982,Transit,
NGTS-11 b,NIRISS / SOSS,-,GR700XD,1,12,7982,Transit,
TOI-1420 b,MIRI / LRS,-,SLITLESS,1,12,9101,Transit,
TOI-1420 b,NIRSpec / BOTS,F290LP,G395M,1,12,9101,Transit,
TOI-1420 b,NIRISS / SOSS,-,GR700XD,1,12,9101,Transit,
TOI-1670 c,NIRSpec / BOTS,F290LP,G395M,1,12,7982,Transit,
TOI-1670 c,NIRSpec / BOTS,F170LP,G235M,1,12,7982,Transit,
TOI-1807 b,MIRI / LRS,-,SLITLESS,1,12,8864,Phase Curve,
TOI-199 b,NIRSpec / BOTS,F290LP,G395H,1,12,7188,Transit,
TOI-2109 b,NIRSpec / BOTS,F290LP,G395H,1,12,8877,Phase Curve,
TOI-216 c,NIRSpec / BOTS,F290LP,G395M,1,12,7982,Transit,
TOI-216 c,NIRISS / SOSS,-,GR700XD,1,12,7982,Transit,
TOI-2260 b,MIRI / LRS,-,SLITLESS,1,12,8864,Phase Curve,
TOI-2301 b,NIRSpec / BOTS,F290LP,G395H,1,12,9025,Phase Curve,
TOI-2431 b,MIRI / LRS,-,SLITLESS,1,12,8864,Phase Curve,
TOI-431 b,MIRI / LRS,-,SLITLESS,1,12,8864,Phase Curve,
TOI-431 d,NIRSpec / BOTS,F290LP,G395H,2,12,8004,Transit,
TOI-5205 b,MIRI / LRS,-,SLITLESS,2,12,7683,Eclipse,
TOI-6255 b,MIRI / LRS,-,SLITLESS,1,12,8864,Phase Curve,
TOI-674 b,NIRISS / SOSS,-,GR700XD,1,12,9095,Transit,
TOI-674 b,NIRSpec / BOTS,F290LP,G395H,1,12,9095,Transit,
TOI-674 b,MIRI / LRS,-,SLITLESS,4,12,9095,Transit,
TOI-674 b,NIRSpec / BOTS,F290LP,G395H,2,12,9095,Eclipse,
TOI-677 b,NIRSpec / BOTS,F290LP,G395H,2,12,9025,Phase Curve,
TOI-6894 b,NIRSpec / BOTS,-,PRISM,1,12,8696,Transit,
WAS-193 b,MIRI / LRS,-,SLITLESS,1,12,9101,Transit,
WAS-193 b,NIRSpec / BOTS,F290LP,G395M,1,12,9101,Transit,
WAS-193 b,NIRSpec / BOTS,F170LP,G235M,1,12,9101,Transit,
WAS-193 b,NIRSpec / BOTS,F100LP,G140M,1,12,9101,Transit,
WAS-84 b,NIRSpec / BOTS,F290LP,G395H,1,12,9025,Phase Curve,
WASP-127 b,MIRI / LRS,-,SLITLESS,1,12,9101,Transit,
WASP-17 b,MIRI / LRS,-,SLITLESS,2,12,8309,Transit,
WASP-17 b,MIRI / LRS,-,SLITLESS,1,12,8309,Eclipse,
WASP-25 b,NIRSpec / BOTS,F290LP,G395H,1,12,9025,Phase Curve,
WASP-39 b,NIRSpec / BOTS,F100LP,G140H,1,0,8017,Transit,
WASP-39 b,NIRSpec / BOTS,F170LP,G235H,1,0,8017,Transit,
WD 1856+534 b,MIRI / LRS,-,SLITLESS,2,12,9033,Transit,
WD 1856+534 b,NIRSpec / BOTS,-,PRISM,2,12,9033,Transit,
WD 1856+534 b,MIRI / MRS,Medium,-,4,12,9033,Transit,
WD 1856+534 b,NIRSpec / BOTS,F290LP,G395H,1,12,9033,Transit,
